Summary,Issue Type,Status,Project key,Description, issue link (Relates)
DS-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-107
DS-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 1   

Discussion comment: 1   
Initialize this value 
http://18.188.47.171:8080/ds/review/DS-CR-1?commentId=b85ef6fa-f7dc-430e-9120-ac12b6a5443c&filePath=/fsw/src/ds_app.c   
",WINDEV-107
FM-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-108
FM-CR-1 Style Issues,Improvement,To Do,WINDEV,Total issues: 0,WINDEV-108
FM-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-108
FM-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 2   

Discussion comment: 1   
Make sure this FM_CHILD_TASK_FLAGS macro is documented somewhere. 
http://18.188.47.171:8080/fm/review/FM-CR-1?commentId=9410e3eb-9e85-4972-83ba-3af424f5f70b&filePath=/fsw/src/fm_child.c   

Discussion comment: 2   
Roll this back to the original.  This file is not even used by our build system. 
http://18.188.47.171:8080/fm/review/FM-CR-1?commentId=92cf99c1-4973-4c93-a4c3-deaf81c45b2a&filePath=/fsw/for_build/detail_doxy   
",WINDEV-108
HS-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-109
HS-CR-1 Style Issues,Improvement,To Do,WINDEV,Total issues: 0,WINDEV-109
HS-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-109
HS-CR-1 Accepted Issues,Improvement,To Do,WINDEV,Total issues: 0,WINDEV-109
LC-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-110
LC-CR-1 Style Issues,Improvement,To Do,WINDEV,Total issues: 0,WINDEV-110
LC-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-110
LC-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 1   

Discussion comment: 1   
Remove the lc_platform_cfg.h file from the CMakeLists.txt file.  We're building using as-built, not as-designed. 
http://18.188.47.171:8080/lc/review/LC-CR-1?commentId=162a8941-5835-4439-9baa-1fbb928fa433&filePath=/fsw/for_build/CMakeLists.txt   
",WINDEV-110
LGC-CR-1 Bug Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-131
LGC-CR-1 Style Issues,Improvement,To Do,WINDEV,"Total issues: 4   

Discussion comment: 1   
brace style 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=f7d01f12-fbb8-410d-916e-06a57cf0d892&filePath=/fsw/src/lgc_events.h   

Discussion comment: 2   
nit: space around assignment. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=d88590ee-721a-4a61-bf2b-abf12d512864&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 3   
Extra tab here 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=dd0140c6-1503-4001-a8ee-afd82016fec4&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 4   
Remove excess newlines between functions 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=6d219448-5278-4846-9d25-0e131b2450aa&filePath=/fsw/src/lgc_app.cpp   
",WINDEV-131
LGC-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-131
LGC-CR-1 Accepted Issues,Improvement,To Do,WINDEV,"Total issues: 21   

Discussion comment: 1   
Do we want any filters for our events? 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=29b50253-94ca-443d-a874-35cf88321ccf&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 2   
Make sure you write the table validation function. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=28a4d30b-152a-4b0a-9f50-5888c2d68bcd&filePath=/fsw/src/lgc_tbldefs.h   

Discussion comment: 3   
Change these hard coded return codes to application specific enumerations. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=9c4cd1a5-a914-4175-ace7-cf8ed60ff608&filePath=/fsw/src/lgc_config_utils.cpp   

Discussion comment: 4   
Add a counter for extend and deploy.  Consider putting this in a table and writing it to the file system whenever it changes to maintain a history for maintenance purposes. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=dad3857d-79d4-4da9-8a53-80082b017689&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 5   
Add additional comments to provide inhibits for all automated behavior.  Also consider adding a command to extend or retract the gear manually. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=3a256df6-f3b4-487c-bd51-82e202709609&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 6   
Copy in mission and platform config files from a sitl build.  Include the message IDs and perf IDs.  Include all doxy. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=62d4a5f6-2a18-46d8-848c-7dd750c193f7&filePath=/fsw/mission_inc/lgc_mission_cfg.h   

Discussion comment: 7   
Global.  Remove all TODOs. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=8a7cadb5-facf-41fb-bc41-3600547f70d5&filePath=/fsw/mission_inc/lgc_mission_cfg.h   

Discussion comment: 8   
brace style 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=f7d01f12-fbb8-410d-916e-06a57cf0d892&filePath=/fsw/src/lgc_events.h   

Discussion comment: 9   
Move variable declaration out of for loop. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=f32ce925-d9d0-48d3-acc4-4d99b233410d&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 10   
This looks like it will fit on one line. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=36dd9d22-7455-4961-9fad-529ed851c19f&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 11   
nit: space around assignment. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=d88590ee-721a-4a61-bf2b-abf12d512864&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 12   
Address boilerplate TODO 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=3547f8c8-fe93-4444-82b1-e9de2dbb16fe&filePath=/fsw/src/lgc_config_utils.cpp   

Discussion comment: 13   
Initialized* 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=c8bf776f-8251-4d53-aa33-fe04cd1edb4b&filePath=/fsw/src/lgc_app.h   

Discussion comment: 14   
Initialize to a value 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=cf60070b-2e75-4cd0-b840-0d7ea9ba13d5&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 15   
Extra tab here 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=dd0140c6-1503-4001-a8ee-afd82016fec4&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 16   
Remove excess newlines between functions 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=6d219448-5278-4846-9d25-0e131b2450aa&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 17   
Add numerical values for all items in this enumeration. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=0fcf58ae-b980-4b67-bc58-115285809261&filePath=/fsw/src/lgc_events.h   

Discussion comment: 18   
Rule 6-6-4 states for any iteration statement, which in this case is the while loop, there shall be no more than one break or goto statement used for loop termination. See if it is possible to restructure the code. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=0757bb32-2699-4503-ba80-3ccd40f60cc4&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 19   
May want to change the 1 to true, Rule 5𢠣3 states ""The condition of an if-statement and the condition of an iteration-statement shall have type boolean."" 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=29a02188-a6c8-46d6-b6ec-586c5d5cc3b9&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 20   
Rule 6-4-3 states that a switch statement shall be well formed. A break statement may be required at the end of default case. 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=c583e687-54b0-4a68-abe2-82ee955bf0dc&filePath=/fsw/src/lgc_app.cpp   

Discussion comment: 21   
License boilerplate text is missing 
http://18.188.47.171:8080/lgc/review/LGC-CR-1?commentId=faaa6428-d2a1-45d4-85fa-e4208f3e7887&filePath=/fsw/src/lgc_app.cpp   
",WINDEV-131
LC-CR-1 Accepted Issues,Bug,To Do,WINDEV,Total issues: 0,WINDEV-139
MAC-CR-1 Style Issues,Improvement,To Do,WINDEV,"Total issues: 17   

Discussion comment: 1   
Consider moving comments from in line to before the statement. 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=62d524df-9fcd-4c0f-b6a1-d6250ce57d22&filePath=/fsw/src/mac_app.hpp   

Discussion comment: 2   
Consider moving comments from in line to before the statement. 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=62d524df-9fcd-4c0f-b6a1-d6250ce57d22&filePath=/fsw/src/mac_app.hpp   

Discussion comment: 3   
Mixing comment styles of having comment on line above and same line 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=58e0021d-d9fb-4dec-bf69-dae276134bf2&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 4   
Mixing comment styles of: // and /* */ in this file. Use consistent style 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=d8f4b871-2305-40b2-84a2-6a037e62d2df&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 5   
++i style. 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=4fd8565d-0ccd-4c91-b418-9ee09e7d17ca&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 6   
nit: space around asignment. 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=f3173bff-1641-45e1-85df-d72041204779&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 7   
style: braces around case statements. 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=bc7c2a4e-357c-4241-9f79-2539176a0d41&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 8   
style: enclosed define in parenthesis (0.05f) 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=5f8bd25b-d3c5-4676-b251-709ecb729d75&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 9   
nit: space between assignment. 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=2fb7976b-ae73-4187-b081-d7073cdd315a&filePath=/fsw/src/mac_config_utils.cpp   

Discussion comment: 10   
Keep consistent spacing. 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=e692ff62-e4e7-40f1-ad43-6168360ba0fe&filePath=/fsw/src/mac_app.hpp   

Discussion comment: 11   
Keep consistent spacing. 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=e692ff62-e4e7-40f1-ad43-6168360ba0fe&filePath=/fsw/src/mac_app.hpp   

Discussion comment: 12   
Extra line between includes 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=9be7f9a5-c1e8-4ba1-b327-98b8e2ec4068&filePath=/fsw/src/mac_app.hpp   

Discussion comment: 13   
Extra line between includes 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=9be7f9a5-c1e8-4ba1-b327-98b8e2ec4068&filePath=/fsw/src/mac_app.hpp   

Discussion comment: 14   
Keep line spacing consistent 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=72bf042e-f2db-468f-a2de-7596f6370922&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 15   
Keep line spacing consistent 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=72bf042e-f2db-468f-a2de-7596f6370922&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 16   
Consider declaring variable i at the beginning of this function 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=6169ace6-7111-4a50-8266-4e1097fc9d07&filePath=/fsw/src/mac_app.cpp   

Discussion comment: 17   
Remove new lines between includes 
http://18.188.47.171:8080/mac/review/MAC-CR-1?commentId=3fa03bb2-3a6b-45fd-ac16-781018c43582&filePath=/fsw/src/mac_app.cpp   
",WINDEV-139
MAC-CR-1 Rejected Issues,Improvement,Done,WINDEV,Total issues: 0,WINDEV-139
